origin_id,destination_id,distance_km
1,2,7.615939999999999
1,3,31.64207
1,4,33.82564
1,5,21.51647
1,6,41.28839
1,7,30.45461
1,8,25.923689999999997
1,9,44.93731
1,10,33.473620000000004
1,11,41.02213
1,12,8.38132
1,13,28.46361
1,14,28.45342
1,15,43.81855
1,16,12.04652
1,17,63.292370000000005
1,18,30.558439999999997
1,19,23.785580000000003
1,20,9.25681
1,21,295.10744
1,22,13.10247
1,23,17.23838
1,24,39.67372
1,25,8.99789
1,26,5.23627
1,27,21.39522
1,28,41.73809
1,29,7.615939999999999
2,1,7.771319999999999
2,3,33.12739
2,4,24.86769
2,5,28.31241
2,6,48.08433
2,7,37.25054
2,8,19.66095
2,9,36.26836
2,10,24.515669999999997
2,11,47.81805
2,12,16.0409
2,13,16.43345
2,14,35.24936
2,15,34.86061
2,16,3.93986
2,17,54.33442
2,18,24.2957
2,19,30.58151
2,20,1.66854
2,21,296.59275
2,22,5.514189999999999
2,23,18.78779
2,24,29.52525
2,25,6.624479999999999
2,26,10.17839
2,27,9.36507
2,28,32.78014
2,29,0.0
3,1,31.51023
3,2,35.91589
3,4,45.70454
3,5,26.13438
3,6,43.45439
3,7,45.618559999999995
3,8,19.37398
3,9,16.30441
3,10,45.35252
3,11,43.25975
3,12,14.77586
3,13,25.04822
3,14,39.610879999999995
3,15,55.69746
3,16,31.17077
3,17,34.42252
3,18,17.743509999999997
3,19,42.68995
3,20,36.15142
3,21,268.30903
3,22,37.633489999999995
3,23,46.473589999999994
3,24,51.55263
3,25,25.26929
3,26,28.01943
3,27,21.841939999999997
3,28,53.61699
3,29,35.91589
4,1,33.29075
4,2,24.5028
4,3,43.84045
4,5,53.733160000000005
4,6,90.15745
4,7,62.67129
4,8,22.85934
4,9,42.87275
4,10,1.75247
4,11,89.89119000000001
4,12,36.71325
4,13,17.50919
4,14,77.32248
4,15,11.82245
4,16,20.59183
4,17,28.72483
4,18,24.11034
4,19,68.07155999999999
4,20,25.57248
4,21,307.30581
4,22,27.84687
4,23,48.25411
4,24,11.64398
4,25,23.82348
4,26,29.79995
4,27,19.28714
4,28,7.17056
4,29,24.5028
5,1,21.89182
5,2,28.31975
5,3,25.88046
5,4,53.82071
5,6,16.916520000000002
5,7,19.48418
5,8,40.45353
5,9,41.18168
5,10,53.4687
5,11,16.65024
5,12,19.00427
5,13,48.45868
5,14,13.4765
5,15,63.81363
5,16,32.04159
5,17,59.29978
5,18,42.62078
5,19,28.46297
5,20,29.96063
5,21,284.07309000000004
5,22,33.806290000000004
5,23,22.72832
5,24,59.668800000000005
5,25,28.99297
5,26,22.66171
5,27,41.3903
5,28,61.733160000000005
5,29,28.31975
6,1,38.81299
6,2,45.24092
6,3,42.969199999999994
6,4,70.74188000000001
6,5,16.921169999999996
6,7,17.71528
6,8,57.542269999999995
6,9,58.270410000000005
6,10,88.40691000000001
6,11,0.26627
6,12,35.92543
6,13,65.37985
6,14,13.07389
6,15,96.99011
6,16,48.96276
6,17,118.22566
6,18,59.70951
6,19,27.95324
6,20,48.43768
6,21,289.82619
6,22,61.05584
6,23,32.03987
6,24,71.48942
6,25,45.91414
6,26,39.58288
6,27,58.31146
6,28,96.67139
6,29,45.24092
7,1,30.83852
7,2,37.26645
7,3,45.40953
7,4,62.767410000000005
7,5,19.52906
7,6,17.701150000000002
7,8,54.86545
7,9,73.87908
7,10,62.41539
7,11,17.43488
7,12,33.16314
7,13,57.405379999999994
7,14,6.232270000000001
7,15,72.76032000000001
7,16,40.98829
7,17,92.23413
7,18,59.50021
7,19,21.21875
7,20,37.63567
7,21,303.60215999999997
7,22,54.321349999999995
7,23,25.30538
7,24,64.75493
7,25,37.93966
7,26,31.608400000000003
7,27,50.33699
7,28,70.67986
7,29,37.26645
8,1,25.0585
8,2,19.6585
8,3,18.98927
8,4,22.85022
8,5,45.500910000000005
8,6,65.27282
8,7,54.43904
8,9,16.60796
8,10,22.57065
8,11,65.00655
8,12,19.91787
8,13,7.74473
8,14,52.43785
8,15,34.03489
8,16,15.74752
8,17,24.28709
8,18,4.6353
8,19,47.77001
8,20,20.72817
8,21,289.95328
8,22,23.00257
8,23,40.02186
8,24,28.39656
8,25,18.4566
8,26,21.27234
8,27,10.44031
8,28,21.96283
8,29,19.6585
9,1,43.82172
9,2,35.91804
9,3,15.54264
9,4,42.30981
9,5,40.44755
9,6,57.76756
9,7,59.93173
9,8,16.26008
9,10,43.50377
9,11,57.57291
9,12,27.087349999999997
9,13,24.00427
9,14,53.92404
9,15,49.97325
9,16,32.00706
9,17,18.62189
9,18,12.05511
9,19,66.53322
9,20,36.98771
9,21,283.59444
9,22,39.26211
9,23,58.78507
9,24,52.292449999999995
9,25,37.580769999999994
9,26,40.33092
9,27,26.69985
9,28,35.718160000000005
9,29,35.91804
10,1,32.96302
10,2,24.17506
10,3,43.51271
10,4,1.7618699999999998
10,5,53.40541
10,6,87.92492
10,7,62.34355
10,8,22.70414
10,9,46.79922
10,11,87.65865
10,12,36.38551
10,13,17.353990000000003
10,14,75.08995
10,15,13.1775
10,16,20.26409
10,17,32.65131
10,18,25.51686
10,19,65.83902
10,20,25.24474
10,21,306.97805999999997
10,22,27.51913
10,23,47.926370000000006
10,24,9.41144
10,25,23.49575
10,26,29.47221
10,27,18.95941
10,28,11.09703
10,29,24.17506
11,1,38.54672
11,2,44.97465
11,3,42.77456
11,4,70.47561
11,5,16.6549
11,6,0.26627
11,7,17.449009999999998
11,8,57.347629999999995
11,9,58.07577
11,10,88.14065
11,12,35.65916
11,13,65.11358
11,14,12.80762
11,15,96.72384
11,16,48.69649
11,17,117.95939
11,18,59.51487
11,19,27.68697
11,20,48.17141
11,21,289.63156
11,22,60.78957
11,23,31.7736
11,24,71.22314999999999
11,25,45.647870000000005
11,26,39.31661
11,27,58.045190000000005
11,28,96.40512
11,29,44.97465
12,1,8.45935
12,2,19.28528
12,3,14.15515
12,4,44.13629
12,5,18.6944
12,6,35.610910000000004
12,7,32.98632
12,8,19.90194
12,9,27.45039
12,10,43.784279999999995
12,11,35.34464
12,13,20.78499
12,14,30.98513
12,15,54.12921
12,16,13.857
12,17,43.91201
12,18,23.48398
12,19,26.31729
12,20,20.92615
12,21,278.15338
12,22,36.06524
12,23,22.35871
12,24,49.984379999999994
12,25,10.80838
12,26,7.85312
12,27,15.22524
12,28,52.04875
12,29,19.28528
13,1,22.06982
13,2,16.45445
13,3,24.58138
13,4,17.51061
13,5,42.51223
13,6,62.28414
13,7,51.45036
13,8,7.665979999999999
13,9,24.27339
13,10,17.23104
13,11,62.01788
13,12,20.7682
13,14,49.449169999999995
13,15,29.15598
13,16,12.54347
13,17,28.50408
13,18,12.30073
13,19,44.78133
13,20,17.52412
13,21,301.27634
13,22,19.79852
13,23,37.03318
13,24,23.05695
13,25,13.8837
13,26,18.28366
13,27,7.236260000000001
13,28,18.65556
13,29,16.45445
14,1,28.86713
14,2,35.29506
14,3,39.45384
14,4,60.79602
14,5,13.573379999999998
14,6,14.37279
14,7,6.092359999999999
14,8,52.89407
14,9,54.75505
14,10,75.63353
14,11,14.10652
14,12,31.19176
14,13,55.43399
14,15,84.21673
14,16,39.0169
14,17,105.45227
14,18,57.52882
14,19,15.17985
14,20,35.66429
14,21,297.64646999999997
14,22,48.28245
14,23,19.26648
14,24,58.71603
14,25,35.96828
14,26,29.63702
14,27,48.36561
14,28,83.898
14,29,35.29506
15,1,43.17712
15,2,34.389160000000004
15,3,53.72682
15,4,11.51301
15,5,63.619519999999994
15,6,87.23561
15,7,78.81219
15,8,34.94463
15,9,50.682379999999995
15,10,12.49689
15,11,86.96934
15,12,46.59961
15,13,31.62635
15,14,74.40064
15,16,30.47819
15,17,36.53447
15,18,34.48312
15,19,65.14971
15,20,35.458839999999995
15,21,317.19219
15,22,37.733230000000006
15,23,58.14047
15,24,18.04437
15,25,33.709849999999996
15,26,39.68632
15,27,29.173509999999997
15,28,14.2036
15,29,34.389160000000004
16,1,11.88824
16,2,3.91099
16,3,29.18755
16,4,20.92784
16,5,32.33064
16,6,52.10255
16,7,41.26877
16,8,15.7211
16,9,32.32852
16,10,20.575830000000003
16,11,51.83629
16,12,16.0592
16,13,12.49361
16,14,39.26758
16,15,30.92076
16,17,50.39457
16,18,20.35586
16,19,34.59974
16,20,4.980659999999999
16,21,292.65290999999996
16,22,7.25506
16,23,26.85159
16,24,27.27363
16,25,3.2316700000000003
16,26,8.43572
16,27,5.42522
16,28,28.8403
16,29,3.91099
17,1,62.59531
17,2,53.80736
17,3,34.071949999999994
17,4,29.0611
17,5,83.03771
17,6,117.55721
17,7,91.97584
17,8,24.28036
17,9,18.4457
17,10,30.25506
17,11,117.29095
17,12,43.92121
17,13,28.50319
17,14,104.72224
17,15,36.72454
17,16,49.89638
17,18,20.75698
17,19,95.47132
17,20,54.87703
17,21,262.01869
17,22,57.15143
17,23,77.55866
17,24,39.04374
17,25,53.12804
17,26,59.104510000000005
17,27,34.72012
17,28,22.46945
17,29,53.80736
18,1,29.55754
18,2,24.15753
18,3,17.35358
18,4,22.83315
18,5,42.13122
18,6,59.45123
18,7,58.93807
18,8,4.49958
18,9,12.34056
18,10,24.29154
18,11,59.25659
18,12,24.14043
18,13,12.24377
18,14,56.93689
18,15,32.40105
18,16,20.24655
18,17,20.77821
18,19,52.26904
18,20,25.22721
18,21,285.40538
18,22,27.5016
18,23,44.52089
18,24,33.08021
18,25,22.95564
18,26,25.77138
18,27,14.93934
18,28,20.32898
18,29,24.15753
19,1,23.70639
19,2,30.134310000000003
19,3,53.45171
19,4,67.55174000000001
19,5,27.33446
19,6,27.95713
19,7,19.53371
19,8,47.73332
19,9,66.74695
19,10,65.85577
19,11,27.69086
19,12,26.03102
19,13,50.27325
19,14,15.12216
19,15,74.43896000000001
19,16,33.85615
19,17,95.67452
19,18,52.36808
19,20,29.39572
19,21,316.91706
19,22,38.50469
19,23,8.8619
19,24,48.93827
19,25,30.80753
19,26,24.47627
19,27,43.20486
19,28,74.12022999999999
19,29,30.134310000000003
20,1,9.24861
20,2,1.70565
20,3,34.15543
20,4,25.89572
20,5,29.7897
20,6,50.99491
20,7,37.66064
20,8,20.68898
20,9,37.29639
20,10,25.5437
20,11,50.72864
20,12,17.518189999999997
20,13,17.461479999999998
20,14,38.15994
20,15,35.88864
20,16,4.967890000000001
20,17,55.362449999999995
20,18,25.32373
20,19,28.85451
20,21,297.62078
20,22,4.29416
20,23,20.511560000000003
20,24,25.034560000000003
20,25,7.65251
20,26,11.20642
20,27,10.3931
20,28,33.80817
20,29,1.70565
21,1,293.18569
21,2,297.59131
21,3,269.14609
21,4,307.37996999999996
21,5,284.15694
21,6,289.665
21,7,303.64113000000003
21,8,289.99369
21,9,284.44731
21,10,307.02797
21,11,289.47034
21,12,277.28628000000003
21,13,302.01794
21,14,297.63344
21,15,317.37291
21,16,292.84621999999996
21,17,262.11853
21,18,285.88640999999996
21,19,315.89719
21,20,297.82684
21,22,299.30894
21,23,308.14903000000004
21,24,313.22805999999997
21,25,286.94471999999996
21,26,289.69488
21,27,294.94956
21,28,315.29244
21,29,297.59131
22,1,13.17129
22,2,5.628340000000001
22,3,37.23276
22,4,26.50533
22,5,34.51269
22,6,59.85905
22,7,51.43564
22,8,23.0252
22,9,39.63262
22,10,26.15331
22,11,59.59279
22,12,22.228240000000003
22,13,19.79771
22,14,47.024080000000005
22,15,36.49825
22,16,7.30411
22,17,55.97206
22,18,27.65996
22,19,37.77316
22,20,5.20688
22,21,300.69813
22,23,22.41061
22,24,22.87821
22,25,10.3424
22,26,15.54645
22,27,12.72932
22,28,34.417790000000004
22,29,5.628340000000001
23,1,16.34544
23,2,18.98514
23,3,46.10116
23,4,48.28473
23,5,22.76446
23,6,32.3518
23,7,23.92838
23,8,40.38278
23,9,59.3964
23,10,47.93271
23,11,32.08553
23,12,22.50713
23,13,42.9227
23,14,19.51683
23,15,58.27765
23,16,26.50561
23,17,77.75146000000001
23,18,45.01753
23,19,8.5871
23,20,20.50232
23,21,309.56653
23,22,24.79648
23,24,45.42012
23,25,23.45699
23,26,18.95576
23,27,35.85432
23,28,56.19718
23,29,18.98514
24,1,38.8344
24,2,29.26783
24,3,49.3841
24,4,12.47132
24,5,59.2768
24,6,70.7679
24,7,62.34448
24,8,30.183439999999997
24,9,54.742
24,10,10.77534
24,11,70.50163
24,12,42.25689
24,13,24.83329
24,14,57.93293
24,15,19.35853
24,16,28.80409
24,17,40.594080000000005
24,18,36.22976
24,19,48.682
24,20,30.33751
24,21,312.84947
24,22,25.34095
24,23,44.65895
24,25,32.59346
24,26,35.343599999999995
24,27,27.49941
24,28,19.039810000000003
24,29,29.26783
25,1,8.82036
25,2,6.42446
25,3,24.67605
25,4,26.85962
25,5,29.26276
25,6,49.03468
25,7,38.20089
25,8,18.483790000000003
25,9,37.97129
25,10,26.5076
25,11,48.76841
25,12,12.99132
25,13,13.83984
25,14,36.1997
25,15,36.85254
25,16,3.23553
25,17,56.326339999999995
25,18,23.11854
25,19,31.53186
25,20,7.49413
25,21,288.14140999999995
25,22,10.29721
25,23,23.78371
25,24,32.7077
25,26,5.36784
25,27,7.54604
25,28,34.77207
25,29,6.42446
26,1,8.87907
26,2,13.28472
26,3,27.74132
26,4,29.92489
26,5,22.58738
26,6,42.359300000000005
26,7,31.52552
26,8,21.73361
26,9,41.036559999999994
26,10,29.57287
26,11,42.09303
26,12,7.7011
26,13,18.65613
26,14,29.524330000000003
26,15,39.9178
26,16,7.856439999999999
26,17,59.39162
26,18,26.36837
26,19,24.85649
26,20,11.15358
26,21,291.20669
26,22,21.85384
26,23,19.00246
26,24,35.77297
26,25,4.8078199999999995
26,27,17.49447
26,28,37.83734
26,29,13.28472
27,1,20.15413
27,2,9.34728
27,3,21.44819
27,4,18.87971
27,5,40.59654
27,6,60.36845
27,7,49.53467
27,8,10.41061
27,9,27.01802
27,10,18.5277
27,11,60.10218
27,12,15.21076
27,13,7.18311
27,14,47.53348
27,15,28.87263
27,16,5.436310000000001
27,17,34.69715
27,18,15.04536
27,19,42.86564
27,20,10.41696
27,21,294.16919
27,22,12.69135
27,23,35.11749
27,24,25.22551
27,25,7.54604
27,26,11.946
27,28,26.79217
27,29,9.34728
28,1,41.32361
28,2,32.53566
28,3,51.87331
28,4,7.7894
28,5,61.76602
28,6,96.28552
28,7,70.70415
28,8,21.81151
28,9,35.845819999999996
28,10,8.98337
28,11,96.01925
28,12,44.74611
28,13,18.49323
28,14,83.45055
28,15,14.06858
28,16,28.62469
28,17,21.6979
28,18,28.09859
28,19,74.19963
28,20,33.60534
28,21,315.33869
28,22,35.87973
28,23,56.28697
28,24,17.77204
28,25,31.85634
28,26,37.832809999999995
28,27,27.32
28,29,32.53566
29,1,7.771319999999999
29,2,0.0
29,3,33.12739
29,4,24.86769
29,5,28.31241
29,6,48.08433
29,7,37.25054
29,8,19.66095
29,9,36.26836
29,10,24.515669999999997
29,11,47.81805
29,12,16.0409
29,13,16.43345
29,14,35.24936
29,15,34.86061
29,16,3.93986
29,17,54.33442
29,18,24.2957
29,19,30.58151
29,20,1.66854
29,21,296.59275
29,22,5.514189999999999
29,23,18.78779
29,24,29.52525
29,25,6.624479999999999
29,26,10.17839
29,27,9.36507
29,28,32.78014
